seed,real_model,n_wins,n_questions,win_rate
222333,claude-haiku-4.5,10.0,10,1.0
222334,claude-haiku-4.5,10.0,10,1.0
222335,claude-haiku-4.5,10.0,10,1.0
222336,claude-haiku-4.5,10.0,10,1.0
222337,claude-haiku-4.5,10.0,10,1.0
222338,claude-haiku-4.5,10.0,10,1.0
222339,claude-haiku-4.5,10.0,10,1.0
222340,claude-haiku-4.5,10.0,10,1.0
222341,claude-haiku-4.5,10.0,10,1.0
222342,claude-haiku-4.5,10.0,10,1.0
222343,claude-haiku-4.5,10.0,10,1.0
222344,claude-haiku-4.5,10.0,10,1.0
222345,claude-haiku-4.5,10.0,10,1.0
222346,claude-haiku-4.5,10.0,10,1.0
222347,claude-haiku-4.5,10.0,10,1.0
222348,claude-haiku-4.5,10.0,10,1.0
222349,claude-haiku-4.5,10.0,10,1.0
222350,claude-haiku-4.5,10.0,10,1.0
222351,claude-haiku-4.5,10.0,10,1.0
222352,claude-haiku-4.5,10.0,10,1.0
222353,claude-haiku-4.5,10.0,10,1.0
222354,claude-haiku-4.5,10.0,10,1.0
222355,claude-haiku-4.5,10.0,10,1.0
222356,claude-haiku-4.5,10.0,10,1.0
222357,claude-haiku-4.5,10.0,10,1.0
222358,claude-haiku-4.5,10.0,10,1.0
222359,claude-haiku-4.5,10.0,10,1.0
222360,claude-haiku-4.5,10.0,10,1.0
222361,claude-haiku-4.5,10.0,10,1.0
222362,claude-haiku-4.5,10.0,10,1.0
222363,claude-haiku-4.5,10.0,10,1.0
222364,claude-haiku-4.5,10.0,10,1.0
222365,claude-haiku-4.5,10.0,10,1.0
222366,claude-haiku-4.5,10.0,10,1.0
222367,claude-haiku-4.5,10.0,10,1.0
222368,claude-haiku-4.5,10.0,10,1.0
222369,claude-haiku-4.5,10.0,10,1.0
222370,claude-haiku-4.5,10.0,10,1.0
222371,claude-haiku-4.5,10.0,10,1.0
222372,claude-haiku-4.5,10.0,10,1.0
222373,claude-haiku-4.5,10.0,10,1.0
222374,claude-haiku-4.5,10.0,10,1.0
222375,claude-haiku-4.5,10.0,10,1.0
222376,claude-haiku-4.5,10.0,10,1.0
222377,claude-haiku-4.5,10.0,10,1.0
222378,claude-haiku-4.5,10.0,10,1.0
222379,claude-haiku-4.5,10.0,10,1.0
222380,claude-haiku-4.5,10.0,10,1.0
222381,claude-haiku-4.5,10.0,10,1.0
222382,claude-haiku-4.5,10.0,10,1.0
222383,claude-haiku-4.5,10.0,10,1.0
222384,claude-haiku-4.5,10.0,10,1.0
222385,claude-haiku-4.5,10.0,10,1.0
222386,claude-haiku-4.5,10.0,10,1.0
222387,claude-haiku-4.5,10.0,10,1.0
222388,claude-haiku-4.5,10.0,10,1.0
222389,claude-haiku-4.5,10.0,10,1.0
222390,claude-haiku-4.5,10.0,10,1.0
222391,claude-haiku-4.5,10.0,10,1.0
222392,claude-haiku-4.5,10.0,10,1.0
222393,claude-haiku-4.5,10.0,10,1.0
222394,claude-haiku-4.5,10.0,10,1.0
222395,claude-haiku-4.5,10.0,10,1.0
222396,claude-haiku-4.5,10.0,10,1.0
222397,claude-haiku-4.5,10.0,10,1.0
222398,claude-haiku-4.5,10.0,10,1.0
222399,claude-haiku-4.5,10.0,10,1.0
222400,claude-haiku-4.5,10.0,10,1.0
222401,claude-haiku-4.5,10.0,10,1.0
222402,claude-haiku-4.5,10.0,10,1.0
222403,claude-haiku-4.5,10.0,10,1.0
222404,claude-haiku-4.5,10.0,10,1.0
222405,claude-haiku-4.5,10.0,10,1.0
222406,claude-haiku-4.5,10.0,10,1.0
222407,claude-haiku-4.5,10.0,10,1.0
222408,claude-haiku-4.5,10.0,10,1.0
222409,claude-haiku-4.5,10.0,10,1.0
222410,claude-haiku-4.5,10.0,10,1.0
222411,claude-haiku-4.5,10.0,10,1.0
222412,claude-haiku-4.5,10.0,10,1.0
222413,claude-haiku-4.5,10.0,10,1.0
222414,claude-haiku-4.5,10.0,10,1.0
222415,claude-haiku-4.5,10.0,10,1.0
222416,claude-haiku-4.5,10.0,10,1.0
222417,claude-haiku-4.5,10.0,10,1.0
222418,claude-haiku-4.5,10.0,10,1.0
222419,claude-haiku-4.5,10.0,10,1.0
222420,claude-haiku-4.5,10.0,10,1.0
222421,claude-haiku-4.5,10.0,10,1.0
222422,claude-haiku-4.5,10.0,10,1.0
222423,claude-haiku-4.5,10.0,10,1.0
222424,claude-haiku-4.5,10.0,10,1.0
222425,claude-haiku-4.5,10.0,10,1.0
222426,claude-haiku-4.5,10.0,10,1.0
222427,claude-haiku-4.5,10.0,10,1.0
222428,claude-haiku-4.5,10.0,10,1.0
222429,claude-haiku-4.5,10.0,10,1.0
222430,claude-haiku-4.5,10.0,10,1.0
222431,claude-haiku-4.5,10.0,10,1.0
222432,claude-haiku-4.5,10.0,10,1.0
